Team,Name,Pos,Age,Proj PA,Proj IP,Service Time,Options or R5 Status,Projected Opening Day Status,NameASCII,PlayerId,MLBAMID
DET,John Peck,INF,23.6,,,,Dec'26,Lineup/Bench Candidate,,sa3022896,807726
DET,Tyler Owens,RP,25.1,,,0.005,2,Bench Candidate,,26030,687074
DET,Ben Malgeri,OF,26.1,,,,R5,Bench Candidate,,sa3016975,701162
DET,Max Clark,OF,21.1,,,,Dec'27,Lineup Candidate,,sa3022683,703601
DET,Troy Melton,SP/RP,25.2,,72,0.068,3,Rotation/Bullpen Candidate,,31807,675512
DET,Keider Montero,SP/RP,25.6,,61,1.011,1,Rotation/Bullpen Candidate,,22630,672456
DET,Bailey Horn,RP,28.1,,42,0.102,1,Bullpen Candidate,,27753,690544
DET,Sawyer Gipson-Long,SP,28.2,,34,2.022,3,Rotation/Bullpen Candidate,,26048,687830
DET,Ty Madden,SP,26.0,,32,1.035,3,Rotation/Bullpen Candidate,,30140,680744
DET,Dylan Smith,RP,25.7,,28,0.020,2,Bullpen Candidate,,30145,681916
DET,Drew Sommers,RP,25.5,,22,0.032,2,Bullpen Candidate,,32026,805427
DET,Sean Guenther,RP,30.1,,18,2.065,2,Bullpen Candidate,,20045,674944
DET,Tanner Rainey,RP,33.1,,16,5.168,n/a,Bullpen Candidate,,17610,663432
DET,Scott Effross,RP,32.1,,14,3.063,1,Bullpen Candidate,,18384,664123
DET,Konnor Pilkington,RP,28.4,,12,0.152,1,Bullpen Candidate,,21453,663455
DET,Jake Miller,SP,24.6,,10,0.000,3,Bullpen Candidate,,sa3020408,805725
DET,Jack Little,RP,28.1,,,0.003,2,Bullpen Candidate,,26152,669193
DET,Enmanuel De Jesus,SP/RP,29.2,,,0.024,3,Bullpen Candidate,,18554,646241
DET,Bryan Sammons,SP/RP,30.8,,,0.028,2,Bullpen Candidate,,20462,676614
DET,Phil Bickford,RP,30.6,,,2.162,0,Bullpen Candidate,,18519,641360
DET,Troy Watson,SP/RP,28.7,,,,R5,Bullpen Candidate,,sa3007249,681890
DET,Cole Waites,RP,27.7,,,0.110,2,Bullpen Candidate,,25665,686972
DET,Burch Smith,RP,35.8,,,5.086,n/a,Bullpen Candidate,,12784,572143
DET,Tyler Mattison,RP,26.4,,,0.000,2,Bullpen Candidate,,sa3018117,694331
DET,Matt Seelinger,RP,30.8,,,,R5,Bullpen Candidate,,sa3004483,676910
DET,Ricky Vanasco,RP,27.3,,,0.039,1,Bullpen Candidate,,23391,676568
HOU,Jeremy Peña,SS,28.4,651,,4.000,3,Lineup Regular,,21636,665161
HOU,Jose Altuve,2B,35.8,623,,14.072,n/a,Lineup Regular,,5417,514888
HOU,Christian Walker,1B,34.9,595,,7.124,n/a,Lineup Regular,,13419,572233
HOU,Carlos Correa,3B,31.4,567,,10.119,n/a,Lineup Regular,,14162,621043
HOU,Yordan Alvarez,DH,28.6,560,,6.113,n/a,Lineup Regular,,19556,670541
HOU,Yainer Diaz,C,27.4,509,,3.035,3,Lineup Regular,,23003,673237
HOU,Jake Meyers,CF,29.7,490,,4.044,2,Lineup Regular,,20308,676694
HOU,Isaac Paredes,INF,27.0,476,,4.160,0,Platoon vs L,,20036,670623
HOU,Cam Smith,OF,23.0,448,,1.000,3,Platoon vs L,,35108,701358
HOU,Zach Cole,RF,25.5,434,,0.017,3,Platoon vs R,,31583,805904
HOU,Joey Loperfido,LF,26.8,399,,1.021,1,Platoon vs R,,29630,694388
HOU,Hunter Brown,SP,27.5,,183,3.035,3,Starting Rotation,,25880,686613
HOU,Tatsuya Imai,SP,27.8,,153,0.000,3,Starting Rotation,,sa3062955,837227
HOU,Cristian Javier,SP,28.9,,148,6.000,n/a,Starting Rotation,,17606,664299
HOU,Mike Burrows,SP,26.3,,131,0.135,1,Starting Rotation,,24728,681347
HOU,Lance McCullers Jr.,SP,32.4,,109,10.140,n/a,Starting Rotation,,14120,621121
