dataset,stat,kind,season,level_id,pitch_tag,n_players,mu,var_obs,var_within,var_true,var_between,K,n_50,n_70,n_80
hitters,damage_rate,rate,2024,1,,564,0.11161411342257219,0.004943033712113396,0.0009567309612948718,0.003986302750818524,,23.87427807311052,23.87427807311052,55.70664883725788,95.49711229244208
hitters,damage_rate,rate,2021,1,,607,0.10790125788141078,0.005133220913621415,0.0011225509836138095,0.004010669930007605,,23.00062286572596,23.00062286572596,53.66812002002724,92.00249146290383
hitters,damage_rate,rate,2022,1,,584,0.10523928788844916,0.004484903820580427,0.0009322172386986919,0.003552686581881735,,25.50500628268365,25.50500628268365,59.511681326261844,102.0200251307346
hitters,damage_rate,rate,2015,1,,608,0.07237564911803078,0.0037938667851099748,0.0007870671510340331,0.0030067996340759416,,21.328529567420723,21.328529567420723,49.76656899064835,85.3141182696829
hitters,damage_rate,rate,2024,11,,681,0.08605376913266212,0.003806963849607931,0.0008846694322422297,0.0029222944173657012,,25.913276596415706,25.913276596415706,60.46431205830331,103.65310638566284
hitters,damage_rate,rate,2025,11,,715,0.10100540695061708,0.004888775628173037,0.0011083493583812175,0.003780426269791819,,23.019332275552532,23.019332275552532,53.71177530962257,92.07732910221013
hitters,damage_rate,rate,2022,14,,257,0.052833492218295273,0.0032378154830153823,0.0008469295740660621,0.00239088590894932,,19.930364820421616,19.930364820421616,46.50418458098377,79.72145928168646
hitters,damage_rate,rate,2017,1,,602,0.07896291669171457,0.004020391176916592,0.0008727617574472073,0.0031476294194693853,,22.105570823998736,22.105570823998736,51.57966525599705,88.42228329599494
hitters,damage_rate,rate,2019,1,,609,0.09555964943045321,0.004542931419769838,0.0009946859382053658,0.003548245481564472,,23.357954735723286,23.357954735723286,54.50189438335433,93.43181894289314
hitters,damage_rate,rate,2023,11,,707,0.09491702755272337,0.004260147083580584,0.0010058849530456453,0.0032542621305349387,,25.398545042576924,25.398545042576924,59.26327176601283,101.59418017030771
hitters,damage_rate,rate,2020,1,,459,0.10797775402560447,0.005150881824885187,0.0014740063649625952,0.0036768754599225914,,25.195763144835563,25.195763144835563,58.79011400461631,100.78305257934225
hitters,damage_rate,rate,2018,1,,604,0.08271249525388688,0.0041550165223521104,0.0009115594137025334,0.003243457108649577,,22.392058486123094,22.392058486123094,52.24813646762055,89.56823394449238
hitters,damage_rate,rate,2025,1,,576,0.12078514793693428,0.004891355392631744,0.0010828292032347643,0.0038085261893969794,,26.8837772654523,26.8837772654523,62.728813619388696,107.53510906180921
hitters,damage_rate,rate,2023,1,,576,0.1154759227587215,0.004978969929897216,0.0010043746808499326,0.003974595249047284,,24.69852466014664,24.69852466014664,57.629890873675485,98.79409864058657
hitters,damage_rate,rate,2025,16,,15,0.07700182265399656,0.006094639348880252,0.003015171042912625,0.003079468305967627,,22.07948480074605,22.07948480074605,51.518797868407454,88.31793920298422
hitters,selection_skill,rate,2023,14,,325,0.5745279713915789,0.0037332513477178995,0.0020449888225168,0.0016882625252010995,,143.79121453645877,143.79121453645877,335.51283391840377,575.1648581458351
hitters,selection_skill,rate,2015,1,,728,0.5410887384347369,0.0033128547916970773,0.0017521003359278415,0.0015607544557692359,,158.0972331720549,158.0972331720549,368.8935440681281,632.3889326882196
hitters,selection_skill,rate,2025,1,,642,0.523399460400587,0.0024496404959070744,0.0012340476359060744,0.001215592860001,,204.21053838104655,204.21053838104655,476.49125622244196,816.8421535241862
hitters,selection_skill,rate,2018,1,,716,0.5370249718940897,0.0030707297343682007,0.0016127573868677176,0.0014579723475004831,,169.53077301670805,169.53077301670805,395.57180370565214,678.1230920668322
hitters,selection_skill,rate,2023,11,,848,0.5433311264934833,0.0030883647217560583,0.001616621172250444,0.0014717435495056142,,167.59079393292035,167.59079393292035,391.0451858434808,670.3631757316815
hitters,selection_skill,rate,2019,1,,736,0.5352642947660601,0.0031989102416506037,0.001575787096799711,0.0016231231448508928,,152.25789069288658,152.25789069288658,355.2684116167353,609.0315627715463
hitters,selection_skill,rate,2021,14,,325,0.5676553389780951,0.0037707567551596736,0.002067853384846296,0.0017029033703133776,,143.12018872368256,143.12018872368256,333.947107021926,572.4807548947302
hitters,selection_skill,rate,2022,16,,32,0.614761375071571,0.012406789832256774,0.007486326208728664,0.004920463623528109,,47.13160809872396,47.13160809872396,109.9737522303559,188.52643239489583
hitters,selection_skill,rate,2025,16,,183,0.5908116022957194,0.009225843005954684,0.007087675600431966,0.0021381674055227177,,112.06563380587251,112.06563380587251,261.4864788803692,448.2625352234901
hitters,selection_skill,rate,2017,1,,728,0.5349185826445699,0.003937812695147815,0.0017434929693396592,0.002194319725808156,,112.37486039983065,112.37486039983065,262.20800759960485,449.49944159932267
hitters,selection_skill,rate,2021,16,,20,0.5833336370645286,0.008029560403548642,0.009376276499471247,1e-8,,24305549.49335974,24305549.49335974,56712948.81783939,97222197.97343896
hitters,selection_skill,rate,2020,1,,542,0.5537427353585753,0.0029179941181958803,0.0016770350523028163,0.001240959065893064,,198.12962900056868,198.12962900056868,462.30246766799354,792.5185160022749
hitters,selection_skill,rate,2025,11,,846,0.5357143291293269,0.0028693877817562896,0.0015947639848299484,0.0012746237969263412,,194.1356057329405,194.1356057329405,452.98308004352776,776.542422931762
hitters,selection_skill,rate,2023,1,,631,0.5325476420883117,0.0020995567056184515,0.0010112232208281955,0.001088333484790256,,227.73563523818905,227.73563523818905,531.3831488891077,910.9425409527563
hitters,selection_skill,rate,2022,1,,656,0.5343697373702668,0.0022070241211498863,0.0011924631758646613,0.001014560945285225,,244.24768305875222,244.24768305875222,569.9112604704219,976.9907322350089
hitters,selection_skill,rate,2022,11,,449,0.5449347372969598,0.0038951485586428735,0.0023674667861311198,0.0015276817725117537,,161.32495133874178,161.32495133874178,376.42488645706413,645.2998053549672
hitters,selection_skill,rate,2024,11,,821,0.5354144847524043,0.0029667441214573653,0.0016208987637163076,0.0013458453577410577,,183.8249598952666,183.8249598952666,428.92490642228876,735.2998395810664
hitters,selection_skill,rate,2021,1,,741,0.5321920491897809,0.0033961651712717516,0.0016487980948927791,0.0017473670763789725,,141.47931950559826,141.47931950559826,330.11841217972926,565.917278022393
hitters,selection_skill,rate,2023,16,,26,0.6284833569595173,0.009698084480201243,0.008324161415262094,0.0013739230649391487,,168.9454889017055,168.9454889017055,394.20614077064613,675.7819556068221
hitters,selection_skill,rate,2024,1,,625,0.5285225086714679,0.0019902194010823506,0.0011376218886735383,0.0008525975124088123,,291.2674097360063,291.2674097360063,679.6239560506813,1165.0696389440254
